"date","state","prec","tmax","tmin"
2020-01-22,"New York","   0.1329114"," -32.2777778","-150.9245283"
2020-01-23,"New York","   0.4840764","  17.5517241","-118.2631579"
2020-01-24,"New York","  0.2996845"," 44.0000000","-91.6379310"
2020-01-25,"New York"," 26.46082"," 73.46032","-27.66667"
2020-01-26,"New York","165.800000"," 32.933333"," -7.766667"
2020-01-27,"New York","22.64164","25.38462","-9.00000"
2020-01-28,"New York","  9.125402"," 16.910714","-22.160714"
2020-01-29,"New York","  4.068182"," -3.527273","-59.836364"
2020-01-30,"New York","   0.1993671"," -20.0000000","-131.6333333"
2020-01-31,"New York","   0.1968254","  -2.0983607","-121.4918033"
2020-02-01,"New York","  3.251592","  8.850000","-54.833333"
2020-02-02,"New York","  8.746667"," 10.517241","-41.206897"
2020-02-03,"New York"," 25.26174"," 22.75000","-25.07692"
2020-02-04,"New York","  0.6335404"," 64.8813559","-26.4576271"
2020-02-05,"New York","  3.210526"," 47.368421","-39.701754"
2020-02-06,"New York"," 96.787375"," -3.115385","-51.538462"
2020-02-07,"New York"," 98.028939","  2.864407","-44.949153"
2020-02-08,"New York"," 130.33106"," -12.92857","-116.96429"
2020-02-09,"New York","   4.891525"," -38.228070","-147.818182"
2020-02-10,"New York"," 35.67820"," 20.65455","-91.12963"
2020-02-11,"New York"," 37.78065"," 33.96825","-16.11475"
2020-02-12,"New York","  8.974359"," 25.123077","-28.250000"
2020-02-13,"New York"," 79.22408"," 26.90385","-35.13462"
2020-02-14,"New York","  20.796721","   6.440678","-151.000000"
2020-02-15,"New York","   0.3741935"," -79.7777778","-204.7968750"
2020-02-16,"New York","   1.525084","  -6.209677","-153.770492"
2020-02-17,"New York","  0.4314381"," 27.2372881","-68.8275862"
2020-02-18,"New York"," 13.41806"," 27.13333","-75.84746"
2020-02-19,"New York"," 32.67203"," 45.90323","-34.16393"
2020-02-20,"New York","   4.704918","  -4.951613","-100.629032"
2020-02-21,"New York","   1.130293"," -32.936508","-144.904762"
2020-02-22,"New York","   0.02597403","  -0.27272727","-123.36363636"
2020-02-23,"New York","  0.00000"," 51.30303","-70.77273"
2020-02-24,"New York","  0.009933775"," 90.650793651","-47.836065574"
2020-02-25,"New York","  3.822785","110.925373","-15.000000"
2020-02-26,"New York","26.965300","54.656250"," 1.203125"
2020-02-27,"New York","156.09677"," 49.17742","-26.64516"
2020-02-28,"New York"," 23.79933","-10.26667","-74.32787"
2020-02-29,"New York","  16.62847"," -30.23810","-101.53226"
2020-03-01,"New York","   3.483444"," -37.645161","-122.290323"
2020-03-02,"New York","  2.72000"," 45.11475","-79.96667"
2020-03-03,"New York"," 23.878125","106.934426","  8.721311"
2020-03-04,"New York"," 69.33435","102.17460"," 12.87302"
2020-03-05,"New York","  4.898734"," 61.220339","-14.017241"
2020-03-06,"New York","  0.5955414"," 64.4193548","-37.2419355"
2020-03-07,"New York"," 16.73955"," 48.76271","-60.71186"
2020-03-08,"New York","  0.00974026"," 40.25000000","-60.03125000"
2020-03-09,"New York","  0.009677419","127.476190476","-10.539682540"
2020-03-10,"New York","  3.978395","178.818182"," 37.584615"
2020-03-11,"New York"," 34.83283","121.48485","-24.72727"
2020-03-12,"New York","  0.5862069"," 60.4067797","-29.6949153"
2020-03-13,"New York"," 47.43553","109.05882"," 10.61765"
2020-03-14,"New York"," 26.395770","109.557143"," -5.442857"
2020-03-15,"New York","  0.03426791"," 50.47692308","-27.15384615"
2020-03-16,"New York","  0.4100946"," 49.0923077","-86.3281250"
2020-03-17,"New York"," 10.29412"," 77.10938","-69.75000"
2020-03-18,"New York","  8.517134"," 65.863636","-33.681818"
2020-03-19,"New York"," 95.71884"," 93.66667","-20.57353"
2020-03-20,"New York"," 45.21159","128.51471"," 32.54412"
2020-03-21,"New York"," 21.15868","175.82090","-37.63636"
2020-03-22,"New York","  0.184953"," 29.153846","-87.169231"
2020-03-23,"New York"," 13.06452"," 40.41509","-71.16981"
2020-03-24,"New York","146.5194"," 21.0000","-13.7000"
2020-03-25,"New York","  0.6068111"," 49.2413793","-18.5344828"
2020-03-26,"New York","  0.813253"," 89.147541","-13.213115"
2020-03-27,"New York","  7.584071","148.380952","  1.396825"
2020-03-28,"New York","  6.502994","116.969697"," -4.651515"
2020-03-29,"New York","115.98271","104.45714"," 29.31429"
2020-03-30,"New York"," 50.75652","129.93939"," 45.98485"
2020-03-31,"New York","50.37931","80.47761","24.25373"
2020-04-01,"New York"," 4.071023","77.723077","-5.234375"
2020-04-02,"New York","  0.4853801"," 86.2968750","-19.1562500"
2020-04-03,"New York"," 16.357955","105.736111","  6.430556"
2020-04-04,"New York","24.65642","80.24324","25.83562"
2020-04-05,"New York","  1.283286","127.101449"," 41.441176"
2020-04-06,"New York","  2.023055","132.782609"," -1.382353"
2020-04-07,"New York","  0.5087719","140.2941176","  6.0000000"
2020-04-08,"New York"," 53.26790","157.33784"," 28.42466"
2020-04-09,"New York"," 13.88981","125.05714"," 27.76812"
2020-04-10,"New York","81.845481","83.509091","-5.777778"
2020-04-11,"New York"," 11.63333"," 49.35484","-14.80645"
2020-04-12,"New York","  0.4208955"," 92.7887324","-20.0285714"
2020-04-13,"New York"," 70.38421","160.28205"," 14.37179"
2020-04-14,"New York","135.05067","161.66197"," 18.14085"
2020-04-15,"New York","  6.71131"," 78.05000","-19.33333"
2020-04-16,"New York"," 20.97792"," 57.74468","-44.53191"
2020-04-17,"New York","  4.021739"," 39.396226","-43.750000"
2020-04-18,"New York"," 57.28834"," 52.64000","-25.76000"
2020-04-19,"New York","  5.400593"," 78.344262","-13.688525"
2020-04-20,"New York"," 19.58261","132.82090","-12.83582"
2020-04-21,"New York","  9.582133","102.318182","-20.338462"
2020-04-22,"New York"," 35.66061"," 73.64151","-35.90566"
2020-04-23,"New York","  1.03003"," 52.25000","-38.88889"
2020-04-24,"New York"," 37.13115"," 85.66176","-14.07576"
2020-04-25,"New York"," 14.17514","116.51389"," 11.97183"
2020-04-26,"New York"," 22.88352","152.57500"," 26.44872"
2020-04-27,"New York","167.94460"," 88.44444"," 23.67143"
2020-04-28,"New York"," 14.73991","171.20000","  5.60000"
