"date","state","prec","tmax","tmin"
2020-01-22,"Illinois",0.5506173,-7.2222222,-99.4615385
2020-01-23,"Illinois",22.09091,20.625,-37.78261
2020-01-24,"Illinois",70.932817,24.571429,-5.571429
2020-01-25,"Illinois",50.380054,28.241379,-3.178571
2020-01-26,"Illinois",7.346939,23.382353,-32.676471
2020-01-27,"Illinois",0.2315522,22.2307692,-32.24
2020-01-28,"Illinois",0.3415842,1,-28.7878788
2020-01-29,"Illinois",1.823232,-2.933333,-29.233333
2020-01-30,"Illinois",2.399491,6.028571,-30.470588
2020-01-31,"Illinois",5.431169,22.666667,-16.5
2020-02-01,"Illinois",10.324873,38.736842,-7.236842
2020-02-02,"Illinois",0.08060453,78.05882353,1.91428571
2020-02-03,"Illinois",0.01522843,144.75,8.11111111
2020-02-04,"Illinois",10.682266,110.485714,2.628571
2020-02-05,"Illinois",17.21159,30.35294,-28.97059
2020-02-06,"Illinois",46.909091,-2.117647,-37.058824
2020-02-07,"Illinois",5.15427,8.5,-54.32143
2020-02-08,"Illinois",5.305405,24.032258,-49.266667
2020-02-09,"Illinois",4.883905,31.725,-46.75
2020-02-10,"Illinois",84.96883,49.07317,-32.55
2020-02-11,"Illinois",1.897436,28,-34.724138
2020-02-12,"Illinois",3.612821,24.352941,-41.030303
2020-02-13,"Illinois",89.63277,18.35294,-87.1875
2020-02-14,"Illinois",1.945504,-63.925926,-194.185185
2020-02-15,"Illinois",0.05526316,-26.6875,-182.06451613
2020-02-16,"Illinois",0.1832461,46.3333333,-67.2
2020-02-17,"Illinois",3.349869,61.194444,-46.685714
2020-02-18,"Illinois",61.031553,67.653061,-2.510204
2020-02-19,"Illinois",0.05555556,27.79411765,-75.51428571
2020-02-20,"Illinois",0.007575758,-5.333333,-107.0303
2020-02-21,"Illinois",0.1662469,-22.4285714,-123.5151515
2020-02-22,"Illinois",0.1873418,47.9393939,-88.4242424
2020-02-23,"Illinois",0,108.36111,-27.08824
2020-02-24,"Illinois",13.92346,116.23077,11
2020-02-25,"Illinois",46.1198,57.69048,11.60465
2020-02-26,"Illinois",45.64888,28.57895,-24.11765
2020-02-27,"Illinois",4.024,15.3125,-61.34375
2020-02-28,"Illinois",0.2428941,27.0625,-59.9666667
2020-02-29,"Illinois",0.5113924,20.1428571,-84.1388889
2020-03-01,"Illinois",0.1411192,75.9677419,-69.3333333
2020-03-02,"Illinois",38.007009,155.358974,6.972222
2020-03-03,"Illinois",13.259861,91.189189,-2.388889
2020-03-04,"Illinois",3.0185615,109.1052632,0.7837838
2020-03-05,"Illinois",0.03512881,111.80645161,-9.13333333
2020-03-06,"Illinois",0.2740047,114.6571429,-5.2941176
2020-03-07,"Illinois",0,83.6875,-41.25806
2020-03-08,"Illinois",0.03529412,141.34285714,-14.42857143
2020-03-09,"Illinois",15.5573,188.95833,44.31111
2020-03-10,"Illinois",193.12527,130.81481,31.46296
2020-03-11,"Illinois",1.597315,76.577778,20.847826
2020-03-12,"Illinois",2.844037,104.538462,26.358974
2020-03-13,"Illinois",26.688341,129.404255,6.553191
2020-03-14,"Illinois",15.52518,84.461538,5.146341
2020-03-15,"Illinois",47.509756,39.411765,-7.277778
2020-03-16,"Illinois",2.187204,50.114286,-8.702703
2020-03-17,"Illinois",10.129103,55.26,4.755102
2020-03-18,"Illinois",4.574118,95.236842,16.631579
2020-03-19,"Illinois",107.05983,109.81481,49.16981
2020-03-20,"Illinois",164.4186,175.69811,44.51852
2020-03-21,"Illinois",0.4027778,70.7857143,-15.025
2020-03-22,"Illinois",0.5261905,36.8055556,-27.9166667
2020-03-23,"Illinois",46.88861,35.4375,-12.75
2020-03-24,"Illinois",0.4225352,56.0666667,-5.5357143
2020-03-25,"Illinois",14.904977,91.666667,3.414634
2020-03-26,"Illinois",0.6055046,136.7142857,23.7058824
2020-03-27,"Illinois",27.97904,135,45.92
2020-03-28,"Illinois",134.6,159.15094,69.84615
2020-03-29,"Illinois",69.63395,195.27273,69.35849
2020-03-30,"Illinois",1.436242,140.604651,32.452381
2020-03-31,"Illinois",1,135.0303,27.625
2020-04-01,"Illinois",0.2604857,103.4864865,10.5526316
2020-04-02,"Illinois",0.01128668,141.21621622,9.22222222
2020-04-03,"Illinois",2.389583,178.830189,47.823529
2020-04-04,"Illinois",11.95455,191.70968,18.96774
2020-04-05,"Illinois",3.568035,105.586957,7.276596
2020-04-06,"Illinois",0.2516704,153.5151515,27.0909091
2020-04-07,"Illinois",16.8195,203.06667,61.77778
2020-04-08,"Illinois",8.796137,260.634146,100.95
2020-04-09,"Illinois",38.76413,237.7069,38.10345
2020-04-10,"Illinois",0.9544469,119.3,-8.0487805
2020-04-11,"Illinois",0.5303371,136.6486486,8.75
2020-04-12,"Illinois",52.26834,178.18033,61.56667
2020-04-13,"Illinois",49.406977,166.403509,9.857143
2020-04-14,"Illinois",0.3438202,64.9722222,-16.6944444
2020-04-15,"Illinois",9.484262,68.833333,-23.583333
2020-04-16,"Illinois",2.065909,67.875,-35.21875
2020-04-17,"Illinois",66.79167,80.15789,-15.05556
2020-04-18,"Illinois",14.91403,84.275,-5.5
2020-04-19,"Illinois",0.325,152.06061,11.06061
2020-04-20,"Illinois",0.5213483,170.0909091,14.030303
2020-04-21,"Illinois",4.546584,175.511111,23.844444
2020-04-22,"Illinois",0.1941964,158,27.4615385
2020-04-23,"Illinois",43.99602,202.71186,58.15254
