"date","state","prec","tmax","tmin"
2020-01-22,"Massachusetts",0,-10.98276,-139.63793
2020-01-23,"Massachusetts",0,38.63333,-121.98333
2020-01-24,"Massachusetts",0.01357466,70.43333333,-77.65
2020-01-25,"Massachusetts",17.24201,80.64407,-27.32203
2020-01-26,"Massachusetts",180.69643,75.98276,14.10345
2020-01-27,"Massachusetts",0.45,72.35,-0.35
2020-01-28,"Massachusetts",0.09649123,51.16666667,3.55
2020-01-29,"Massachusetts",0.04803493,34.46666667,-30.9
2020-01-30,"Massachusetts",0,24.61017,-84.89831
2020-01-31,"Massachusetts",0.01369863,30.98305085,-84.72881356
2020-02-01,"Massachusetts",7.855204,42.716667,-44.666667
2020-02-02,"Massachusetts",0.4885845,38.2542373,-15.3220339
2020-02-03,"Massachusetts",0.05529954,55.01666667,-39.31666667
2020-02-04,"Massachusetts",0.1441441,73.2666667,-26.95
2020-02-05,"Massachusetts",13.286996,65.616667,-8.566667
2020-02-06,"Massachusetts",78.46948,39.39655,-20.68966
2020-02-07,"Massachusetts",90.31925,50.78333,-16.27119
2020-02-08,"Massachusetts",50.07177,43.62712,-63.88136
2020-02-09,"Massachusetts",0.0531401,7.1355932,-95.3220339
2020-02-10,"Massachusetts",24.62802,46.20339,-48.37288
2020-02-11,"Massachusetts",48.75,53.81034,10.15517
2020-02-12,"Massachusetts",44.0280374,49.1525424,-0.3898305
2020-02-13,"Massachusetts",128.4951923,49.9491525,-0.4237288
2020-02-14,"Massachusetts",36.50711,27.42373,-70.54237
2020-02-15,"Massachusetts",0.04040404,-27.73684211,-147.52631579
2020-02-16,"Massachusetts",0.2864322,14.1785714,-98.8928571
2020-02-17,"Massachusetts",0,53.86207,-52.32759
2020-02-18,"Massachusetts",7.916256,54.344828,-46.086207
2020-02-19,"Massachusetts",71.44076,49.65517,-20.62069
2020-02-20,"Massachusetts",0.05263158,31,-77.22413793
2020-02-21,"Massachusetts",0.1813725,-5.5636364,-113.8181818
2020-02-22,"Massachusetts",0.06372549,25.08928571,-90.17857143
2020-02-23,"Massachusetts",0.02392344,85.22807018,-56.70175439
2020-02-24,"Massachusetts",0.01442308,125.53448276,-36.10344828
2020-02-25,"Massachusetts",5.972093,133.210526,6.298246
2020-02-26,"Massachusetts",28.24651,101.49153,34.83051
2020-02-27,"Massachusetts",190.83178,90.91525,19.30508
2020-02-28,"Massachusetts",36.99533,61.33898,-38.47458
2020-02-29,"Massachusetts",0.03921569,19.54385965,-68.29824561
2020-03-01,"Massachusetts",0.01522843,9.78,-86.9
2020-03-02,"Massachusetts",0.4951456,54.5769231,-79.0961538
2020-03-03,"Massachusetts",2.637681,138.607843,7.45098
2020-03-04,"Massachusetts",32.13615,137.59184,34.32653
2020-03-05,"Massachusetts",0.05418719,101.18367347,-0.57142857
2020-03-06,"Massachusetts",0.4393939,96.4166667,-32.4166667
2020-03-07,"Massachusetts",16.00529,76.34091,-32.86364
2020-03-08,"Massachusetts",0,83.69565,-39.43478
2020-03-09,"Massachusetts",0,154.319149,-2.255319
2020-03-10,"Massachusetts",0.6231884,187.02,38.58
2020-03-11,"Massachusetts",1.521531,158.42,25.12
2020-03-12,"Massachusetts",0.1642512,101.6956522,-15.1956522
2020-03-13,"Massachusetts",45.48113,110.14583,18.66667
2020-03-14,"Massachusetts",45.12871,125.71739,24.86957
2020-03-15,"Massachusetts",0.03960396,93.125,-4.35416667
2020-03-16,"Massachusetts",0.4472362,62.28,-55.16
2020-03-17,"Massachusetts",12.14925,59.39583,-29.33333
2020-03-18,"Massachusetts",25.21569,92.625,-13.8125
2020-03-19,"Massachusetts",71.29,98.0625,11.22917
2020-03-20,"Massachusetts",126.71845,121.14894,28.59574
2020-03-21,"Massachusetts",3.183168,148.770833,7.895833
2020-03-22,"Massachusetts",0.01470588,64.3125,-51.06382979
2020-03-23,"Massachusetts",26.62069,45.83333,-40.58333
2020-03-24,"Massachusetts",320.85981,60.86275,-6.72549
2020-03-25,"Massachusetts",1.0511628,71.6078431,0.8235294
2020-03-26,"Massachusetts",2.070423,82.229167,-2.895833
2020-03-27,"Massachusetts",1.119048,138.77551,7.244898
2020-03-28,"Massachusetts",5.084906,140.981132,-18.584906
2020-03-29,"Massachusetts",96.54884,97.16981,19.79245
2020-03-30,"Massachusetts",122.54419,67.87037,29.07407
2020-03-31,"Massachusetts",26.036036,57.980392,-1.098039
2020-04-01,"Massachusetts",1.013761,71.803922,-20.711538
2020-04-02,"Massachusetts",21.93213,83.48077,12.52
2020-04-03,"Massachusetts",162.27397,83.18367,35.97959
2020-04-04,"Massachusetts",134.15741,88.42553,34.44681
2020-04-05,"Massachusetts",1.255924,115.5,30.446809
2020-04-06,"Massachusetts",0.09345794,139.87755102,23.10204082
2020-04-07,"Massachusetts",0.1674641,158.9791667,24.3333333
2020-04-08,"Massachusetts",13.74429,143.20408,32.08163
2020-04-09,"Massachusetts",21.33645,110.02,19.88
2020-04-10,"Massachusetts",136.1045,84.92,21.7
2020-04-11,"Massachusetts",9.285714,91.612245,8.816327
2020-04-12,"Massachusetts",0.02926829,122.78723404,-21.89361702
2020-04-13,"Massachusetts",56.87963,153.12245,39.875
2020-04-14,"Massachusetts",210.69545,144.89796,53.85714
2020-04-15,"Massachusetts",16.26852,121.28261,21.17391
2020-04-16,"Massachusetts",6.843602,96.085106,-12.617021
2020-04-17,"Massachusetts",1.42654,84.130435,-9.173913
2020-04-18,"Massachusetts",136.039409,76.173913,-1.826087
2020-04-19,"Massachusetts",25.9378,92.85106,-12.6383
2020-04-20,"Massachusetts",0.9389671,138.0816327,2.5714286
2020-04-21,"Massachusetts",9.018519,113.307692,-19.423077
2020-04-22,"Massachusetts",76.8287,89.64,-5.64
2020-04-23,"Massachusetts",0.1643192,89.5490196,-16.6862745
2020-04-24,"Massachusetts",51.40092,103.66,15.26
2020-04-25,"Massachusetts",45.84466,118.470588,7.901961
2020-04-26,"Massachusetts",11.34,146.16327,34.04167
2020-04-27,"Massachusetts",161.09767,88.73469,31.36735
