"date","state","prec","tmax","tmin"
2020-01-22,"Pennsylvania","   0.0952381"," -21.5747126","-120.8045977"
2020-01-23,"Pennsylvania","   0.00000","  22.10112","-118.16854"
2020-01-24,"Pennsylvania","  2.335616"," 55.955556","-79.166667"
2020-01-25,"Pennsylvania","201.56818"," 72.54369","-11.74510"
2020-01-26,"Pennsylvania","137.081633"," 51.031579"," -5.178947"
2020-01-27,"Pennsylvania"," 4.736462","31.359551","-5.146067"
2020-01-28,"Pennsylvania"," 3.2698962","24.9655172"," 0.1954023"
2020-01-29,"Pennsylvania","  2.057239"," 21.153846","-19.736264"
2020-01-30,"Pennsylvania","  0.04391892"," 19.65555556","-80.91111111"
2020-01-31,"Pennsylvania","  0.2808219"," 17.4347826","-72.2826087"
2020-02-01,"Pennsylvania","  9.739865"," 37.755102","-25.051020"
2020-02-02,"Pennsylvania"," 17.57394"," 33.92553","-15.01064"
2020-02-03,"Pennsylvania","14.407143","88.877778","-6.155556"
2020-02-04,"Pennsylvania","  5.028939","148.608247","  9.319588"
2020-02-05,"Pennsylvania"," 27.14103","126.48485"," -6.22449"
2020-02-06,"Pennsylvania"," 64.61765"," 35.24731","-11.19565"
2020-02-07,"Pennsylvania","120.80000"," 56.71111"," -9.41573"
2020-02-08,"Pennsylvania"," 79.35739"," 22.18947","-51.60000"
2020-02-09,"Pennsylvania","  5.572438"," 17.868132","-47.307692"
2020-02-10,"Pennsylvania"," 54.92414"," 51.34375","-20.71875"
2020-02-11,"Pennsylvania","67.09508","62.95918","20.36735"
2020-02-12,"Pennsylvania"," 10.21782"," 50.38384","-17.79798"
2020-02-13,"Pennsylvania","106.86513"," 48.54167","-16.32292"
2020-02-14,"Pennsylvania"," 16.21284"," 35.39362","-70.87097"
2020-02-15,"Pennsylvania","   0.2846975"," -39.5054945","-142.4835165"
2020-02-16,"Pennsylvania","   0.1153846","  13.3296703","-126.5384615"
2020-02-17,"Pennsylvania","  0.1678571"," 57.6703297","-57.0659341"
2020-02-18,"Pennsylvania","  7.188811"," 83.944444","-41.752809"
2020-02-19,"Pennsylvania"," 20.49359"," 80.87755","-16.69388"
2020-02-20,"Pennsylvania","  0.2534247"," 41.6888889","-64.6292135"
2020-02-21,"Pennsylvania","   0.1587838","  -5.2888889","-100.8666667"
2020-02-22,"Pennsylvania","  0.00000"," 25.18478","-95.32609"
2020-02-23,"Pennsylvania","  0.00000"," 87.18280","-69.25806"
2020-02-24,"Pennsylvania","  0.0106383","116.9325843","-54.8651685"
2020-02-25,"Pennsylvania","  4.435065","125.084211","-15.242105"
2020-02-26,"Pennsylvania","30.15584","90.43617","32.07447"
2020-02-27,"Pennsylvania","159.10738"," 90.78495","-30.18280"
2020-02-28,"Pennsylvania","  6.271777"," -6.325843","-60.247191"
2020-02-29,"Pennsylvania","  2.333333","  2.056180","-68.235955"
2020-03-01,"Pennsylvania","  1.214035","  3.211111","-80.666667"
2020-03-02,"Pennsylvania","  1.646853"," 90.868132","-60.760870"
2020-03-03,"Pennsylvania"," 27.93269","136.61000"," 28.29592"
2020-03-04,"Pennsylvania"," 90.93987","117.90099"," 19.79000"
2020-03-05,"Pennsylvania","  4.254237","100.229167","-21.731959"
2020-03-06,"Pennsylvania","  4.03367"," 93.97872","-29.03158"
2020-03-07,"Pennsylvania"," 29.45485"," 63.21000","-21.95000"
2020-03-08,"Pennsylvania","  0.6631579"," 82.8541667","-40.7113402"
2020-03-09,"Pennsylvania","  0.09722222","162.33684211","-17.90526316"
2020-03-10,"Pennsylvania","  7.345395","193.906250"," 21.312500"
2020-03-11,"Pennsylvania"," 20.980892","129.326923","  4.509615"
2020-03-12,"Pennsylvania"," 2.160131","98.572917"," 5.770833"
2020-03-13,"Pennsylvania"," 53.11285","161.95050"," 45.74257"
2020-03-14,"Pennsylvania","  3.968641","139.694737","  4.831579"
2020-03-15,"Pennsylvania","20.552901","88.494845","-2.443299"
2020-03-16,"Pennsylvania","  0.5087719"," 98.3870968","-34.2872340"
2020-03-17,"Pennsylvania"," 14.63492"," 98.20388","-16.56863"
2020-03-18,"Pennsylvania"," 10.49338"," 95.32323","-17.49495"
2020-03-19,"Pennsylvania","200.112500","124.680000","  2.178218"
2020-03-20,"Pennsylvania"," 57.89490","171.46078"," 66.05882"
2020-03-21,"Pennsylvania"," 39.5822368","187.6060606"," -0.4040404"
2020-03-22,"Pennsylvania","  0.2662116"," 62.6021505","-39.7978723"
2020-03-23,"Pennsylvania"," 24.40328"," 77.63636","-26.57143"
2020-03-24,"Pennsylvania","105.37742"," 64.04040"," 13.54545"
2020-03-25,"Pennsylvania","15.80130","84.37755","19.44898"
2020-03-26,"Pennsylvania"," 19.041270","107.862745","  6.068627"
2020-03-27,"Pennsylvania"," 17.57729","172.14141"," 27.97980"
2020-03-28,"Pennsylvania"," 77.26045","145.78218"," 62.78431"
2020-03-29,"Pennsylvania","220.15047","141.40816"," 77.08247"
2020-03-30,"Pennsylvania"," 12.65506","174.53535"," 69.72727"
2020-03-31,"Pennsylvania"," 13.97188","113.67000"," 40.04950"
2020-04-01,"Pennsylvania","13.12975","95.97115","31.20192"
2020-04-02,"Pennsylvania","  3.256494","115.886598"," -2.309278"
2020-04-03,"Pennsylvania","  0.24000","128.94737"," 11.34737"
2020-04-04,"Pennsylvania","  3.711475","131.118812"," 32.762376"
2020-04-05,"Pennsylvania","  0.3914474","159.1530612"," 41.6836735"
2020-04-06,"Pennsylvania","  4.354633","181.800000"," 21.560000"
2020-04-07,"Pennsylvania","  2.351792","177.505263"," 26.042105"
2020-04-08,"Pennsylvania","129.37719","190.15686"," 62.65686"
2020-04-09,"Pennsylvania"," 25.33233","184.69307"," 53.31683"
2020-04-10,"Pennsylvania"," 39.836478","113.073684","  1.572917"
2020-04-11,"Pennsylvania"," 3.368243","71.063830","-7.319149"
2020-04-12,"Pennsylvania","  2.606164","136.185567"," -4.010309"
2020-04-13,"Pennsylvania","171.51385","189.63725"," 35.44118"
2020-04-14,"Pennsylvania","140.1027","156.3107"," 24.1068"
2020-04-15,"Pennsylvania"," 11.89846"," 90.16495","-15.52041"
2020-04-16,"Pennsylvania","  9.362126"," 82.011364","-20.909091"
2020-04-17,"Pennsylvania","  7.802013"," 59.483871","-35.505376"
2020-04-18,"Pennsylvania","108.5849"," 68.6200","-17.7600"
2020-04-19,"Pennsylvania","  2.726974","105.440000","-11.920000"
2020-04-20,"Pennsylvania","  1.194631","146.677083","  5.927083"
2020-04-21,"Pennsylvania","  6.495082","140.791667","  9.645833"
2020-04-22,"Pennsylvania"," 24.69159","102.10680","-14.76699"
2020-04-23,"Pennsylvania","  9.153595","101.031579"," -6.789474"
2020-04-24,"Pennsylvania"," 90.16717","138.66667"," 31.49038"
2020-04-25,"Pennsylvania"," 29.22115","153.38614"," 35.84314"
2020-04-26,"Pennsylvania"," 60.38387","155.55000"," 42.73000"
2020-04-27,"Pennsylvania","138.73529"," 99.91753"," 31.51546"
2020-04-28,"Pennsylvania","  4.478261","139.000000"," 28.000000"
