"date","state","prec","tmax","tmin"
2020-01-22,"New Jersey","  0.00000"," 21.41176","-90.70588"
2020-01-23,"New Jersey","  0.00000"," 51.93939","-78.30303"
2020-01-24,"New Jersey","  1.28125"," 84.94118","-52.02941"
2020-01-25,"New Jersey"," 37.000000","109.441176"," -7.264706"
2020-01-26,"New Jersey","274.0432900"," 90.9705882"," -0.2941176"
2020-01-27,"New Jersey"," 0.0875576","76.6470588"," 2.1176471"
2020-01-28,"New Jersey"," 0.1551724","63.7941176","12.6000000"
2020-01-29,"New Jersey"," 0.02183406","54.79411765","-9.91176471"
2020-01-30,"New Jersey","  0.00000"," 43.35294","-60.64706"
2020-01-31,"New Jersey","  0.6036036"," 46.7352941","-48.0588235"
2020-02-01,"New Jersey"," 9.442982","62.294118","-6.500000"
2020-02-02,"New Jersey","16.58559","61.18750"," 3.71875"
2020-02-03,"New Jersey","24.3165138","99.8181818","-0.1818182"
2020-02-04,"New Jersey","  3.442982","151.676471"," 23.264706"
2020-02-05,"New Jersey"," 11.88333","135.05882"," 32.32353"
2020-02-06,"New Jersey","93.44715","62.08824","18.52941"
2020-02-07,"New Jersey","106.45749"," 95.58824"," 19.55882"
2020-02-08,"New Jersey"," 32.48636"," 96.66667","-25.81818"
2020-02-09,"New Jersey","  0.5821596"," 59.0882353","-36.7058824"
2020-02-10,"New Jersey","13.764444","78.606061","-1.787879"
2020-02-11,"New Jersey","129.79668"," 88.82353"," 50.94286"
2020-02-12,"New Jersey","36.95175","86.21212","15.54545"
2020-02-13,"New Jersey","82.22511","83.57576","18.30303"
2020-02-14,"New Jersey"," 38.34361"," 58.12500","-41.18750"
2020-02-15,"New Jersey","   0.05116279","   5.39393939","-118.03030303"
2020-02-16,"New Jersey","  0.00000"," 34.15152","-76.84848"
2020-02-17,"New Jersey","  0.00000"," 89.78788","-21.75758"
2020-02-18,"New Jersey","  0.1101322","114.4848485"," -1.0000000"
2020-02-19,"New Jersey","  3.128755","107.382353","  8.205882"
2020-02-20,"New Jersey","  0.00000"," 66.38235","-39.88235"
2020-02-21,"New Jersey","  0.00000"," 22.44118","-75.17647"
2020-02-22,"New Jersey","  0.00000"," 53.47059","-66.00000"
2020-02-23,"New Jersey","  0.00000","108.32353","-52.94118"
2020-02-24,"New Jersey","  0.00000","141.67647","-25.08824"
2020-02-25,"New Jersey","  3.521186","136.909091"," 18.000000"
2020-02-26,"New Jersey"," 53.31325","101.29412"," 60.08824"
2020-02-27,"New Jersey","104.83740"," 93.21212"," 17.51515"
